NO.,a,b,c,d,period
1,1,1,2,1,20
2,1,1,2,3,20
3,1,1,2,5,20
4,1,1,4,1,10
5,1,1,4,3,10
6,1,1,4,5,10
7,1,2,2,1,10
8,1,2,2,3,10
9,1,2,2,5,10
10,1,2,4,1,5
11,1,2,4,3,10
12,1,2,4,5,5
13,1,3,2,1,20
14,1,3,2,3,20
15,1,3,2,5,20
16,1,3,4,1,10
17,1,3,4,3,10
18,1,3,4,5,10
19,1,4,2,1,10
20,1,4,2,3,10
21,1,4,2,5,10
22,1,4,4,1,5
23,1,4,4,3,10
24,1,4,4,5,5
25,1,5,2,1,4
26,1,5,2,3,4
27,1,5,2,5,4
28,1,5,4,1,2
29,1,5,4,3,2
30,1,5,4,5,2
31,2,5,1,1,12
32,2,5,1,3,12
33,2,5,1,5,12
34,2,5,3,1,12
35,2,5,3,3,12
36,2,5,3,5,12
37,2,5,5,1,12
38,2,5,5,3,12
39,2,5,5,5,12
40,3,1,2,1,20
41,3,1,2,3,20
42,3,1,2,5,20
43,3,1,4,1,4
44,3,1,4,3,4
45,3,1,4,5,4
46,3,2,2,1,4
47,3,2,2,3,4
48,3,2,2,5,4
49,3,2,4,1,4
50,3,2,4,3,4
51,3,2,4,5,4
52,3,3,2,1,20
53,3,3,2,3,20
54,3,3,2,5,20
55,3,3,4,1,4
56,3,3,4,3,4
57,3,3,4,5,4
58,3,4,2,1,4
59,3,4,2,3,4
60,3,4,2,5,4
61,3,4,4,1,4
62,3,4,4,3,4
63,3,4,4,5,4
64,3,5,2,1,4
65,3,5,2,3,4
66,3,5,2,5,4
67,3,5,4,1,4
68,3,5,4,3,4
69,3,5,4,5,4
70,4,5,1,1,12
71,4,5,1,3,12
72,4,5,1,5,12
73,4,5,3,1,12
74,4,5,3,3,12
75,4,5,3,5,12
76,4,5,5,1,12
77,4,5,5,3,12
78,4,5,5,5,12
