PA,3,35,w1,w2,w3,2
Index,d,SE,1,11,16,
0,0,0,0,0,0,
1,1,1,1,0,0,
2,2,4,2,0,0,
3,3,4,0,0,-2,
4,4,3,-1,-1,1,
5,5,2,0,-1,1,
6,6,3,1,-1,1,
7,7,3,-1,-1,-1,
8,8,2,0,-1,-1,
9,9,3,1,-1,-1,
10,10,2,-1,1,0,
11,11,1,0,1,0,
12,12,2,1,1,0,
13,13,4,0,-2,0,
14,14,5,-2,0,1,
15,15,2,-1,0,1,
16,16,1,0,0,1,
17,17,2,1,0,1,
18,18,2,-1,0,-1,
19,19,1,0,0,-1,
20,20,2,1,0,-1,
21,21,5,-1,2,0,
22,22,4,0,2,0,
23,23,2,-1,-1,0,
24,24,1,0,-1,0,
25,25,2,1,-1,0,
26,26,3,-1,1,1,
27,27,2,0,1,1,
28,28,3,1,1,1,
29,29,3,-1,1,-1,
30,30,2,0,1,-1,
31,31,3,1,1,-1,
32,32,4,0,0,2,
33,33,4,-2,0,0,
34,34,1,-1,0,0,
"	",TSE,88,,,,
"	",MSE,0.838095238,,,,
"	",PSNR,48.89786988,,,,
