RPA,3,61,w1,w2,w3,3
Index,d,SE,1,13,47,
0,0,0,0,0,0,
1,1,1,1,0,0,
2,2,3,1,-1,-1,
3,3,6,2,-1,-1,
4,4,11,3,-1,-1,
5,5,11,-1,-1,3,
6,6,9,-1,-2,2,
7,7,8,0,-2,2,
8,8,9,1,-2,2,
9,9,11,1,-3,1,
10,10,9,-2,2,1,
11,11,5,-2,1,0,
12,12,2,-1,1,0,
13,13,1,0,1,0,
14,14,1,0,0,-1,
15,15,2,1,0,-1,
16,16,5,2,0,-1,
17,17,9,2,-1,-2,
18,18,9,-2,-1,2,
19,19,6,-1,-1,2,
20,20,5,0,-1,2,
21,21,5,0,-2,1,
22,22,6,1,-2,1,
23,23,9,2,-2,1,
24,24,8,-2,2,0,
25,25,5,-1,2,0,
26,26,3,-1,1,-1,
27,27,2,0,1,-1,
28,28,3,1,1,-1,
29,29,5,1,0,-2,
30,30,8,2,0,-2,
31,31,8,-2,0,2,
32,32,5,-1,0,2,
33,33,3,-1,-1,1,
34,34,2,0,-1,1,
35,35,3,1,-1,1,
36,36,5,1,-2,0,
37,37,8,2,-2,0,
38,38,9,-2,2,-1,
39,39,6,-1,2,-1,
40,40,5,0,2,-1,
41,41,5,0,1,-2,
42,42,6,1,1,-2,
43,43,9,2,1,-2,
44,44,9,-2,1,2,
45,45,5,-2,0,1,
46,46,2,-1,0,1,
47,47,1,0,0,1,
48,48,1,0,-1,0,
49,49,2,1,-1,0,
50,50,5,2,-1,0,
51,51,9,2,-2,-1,
52,52,11,-1,3,-1,
53,53,9,-1,2,-2,
54,54,8,0,2,-2,
55,55,9,1,2,-2,
56,56,11,1,1,-3,
57,57,11,-3,1,1,
58,58,6,-2,1,1,
59,59,3,-1,1,1,
60,60,1,-1,0,0,
,TSE,354,,,,
,MSE,1.93442623,,,,
,PSNR,45.26528189,,,,
